,artist_id,artist_name,artist_url,album_id,album_name,album_release_date,album_total_tracks,album_url,track_id,track_name,track_length,played_at,extracted_at
35,2cCbtvKbNfKnKuMfEeyvJE,love_eight,https://open.spotify.com/artist/2cCbtvKbNfKnKuMfEeyvJE,7BSoLkoXvPu5nKjVGfPVmO,daydream,2023-03-17,1,https://open.spotify.com/album/7BSoLkoXvPu5nKjVGfPVmO,1u1V8O1tVy9FVJHjj3PdmV,daydream,130895,2024-07-12T21:06:56.030Z,12/07/2024 21:44:54
36,169SFNhjiSsCtKYt0APX6r,STAY THERE,https://open.spotify.com/artist/169SFNhjiSsCtKYt0APX6r,0L2tAWPMwQdUF0fkc6pj8j,Elevator Vibes,2021-10-03,1,https://open.spotify.com/album/0L2tAWPMwQdUF0fkc6pj8j,0wIvtei7sFyuvMwG5bRfSo,Elevator Vibes,166138,2024-07-12T21:05:01.199Z,12/07/2024 21:44:54
37,4yfQDVxDZuhHtIKFROMjSQ,Mizlo,https://open.spotify.com/artist/4yfQDVxDZuhHtIKFROMjSQ,6CM8eePyLNd5pYXxdu2PWG,Running Late,2023-12-01,1,https://open.spotify.com/album/6CM8eePyLNd5pYXxdu2PWG,4zfeCdGNMdqw2UQYAHEJRG,Running Late,147697,2024-07-12T21:02:47.143Z,12/07/2024 21:44:54
38,6eLOG5NiDw8it9PbnC6WdF,Age of Departures,https://open.spotify.com/artist/6eLOG5NiDw8it9PbnC6WdF,3mVvMHn47oco4oIogZUXsA,Dusty Attic,2024-05-30,3,https://open.spotify.com/album/3mVvMHn47oco4oIogZUXsA,690nc3o39vROr09u2gpU6Q,Glowing Firefly Waltz,156000,2024-07-12T21:00:55.415Z,12/07/2024 21:44:54
39,2h1uVJZjlRuKJgwJFbkkEN,Talaiio,https://open.spotify.com/artist/2h1uVJZjlRuKJgwJFbkkEN,71xM5XgklqQxrh2AZaoaNY,Falcon,2024-06-23,1,https://open.spotify.com/album/71xM5XgklqQxrh2AZaoaNY,2ayC31AGGoGHISl3BP0qSs,Falcon,173166,2024-07-12T20:58:49.981Z,12/07/2024 21:44:54
40,5Enyz9z97MuIj0QCfUOT1X,Instant Influence,https://open.spotify.com/artist/5Enyz9z97MuIj0QCfUOT1X,3gT6m4IDzhjMUot8ZgKAIM,Supalonely,2022-11-23,4,https://open.spotify.com/album/3gT6m4IDzhjMUot8ZgKAIM,3Bhi8rQjwOviWEpnt17Ser,Supalonley,187500,2024-07-12T20:56:20.902Z,12/07/2024 21:44:54
41,2yp0SXzKw2QwxY1btRjUS6,Billy Bass,https://open.spotify.com/artist/2yp0SXzKw2QwxY1btRjUS6,2FOY9O0VU5AEfvmEXQYbQT,Social Jazz,2022-06-05,4,https://open.spotify.com/album/2FOY9O0VU5AEfvmEXQYbQT,7GzdWuACBcAB9nmz0JJ4Pl,Social Jazz,121436,2024-07-12T20:53:22.514Z,12/07/2024 21:44:54
42,7lwpTjhIayZY8VCuUJHZKt,London Lighthouse,https://open.spotify.com/artist/7lwpTjhIayZY8VCuUJHZKt,3aSXNNj8XoYJZ5tOPPsH2w,Papa Knows Best,2024-01-21,1,https://open.spotify.com/album/3aSXNNj8XoYJZ5tOPPsH2w,2TLIc551287wxILT6GOeou,Papa Knows Best,132371,2024-07-12T20:51:29.285Z,12/07/2024 21:44:54
43,5N7C6JFjoEsCGskSYYGbq1,Lofidelity Habanero,https://open.spotify.com/artist/5N7C6JFjoEsCGskSYYGbq1,1UisVUTos5X3wOpcDZUo1F,Chili is hot,2021-12-27,1,https://open.spotify.com/album/1UisVUTos5X3wOpcDZUo1F,7JnFdD5M4sKv4j26plgBPy,Chili is hot,115263,2024-07-12T20:49:38.594Z,12/07/2024 21:44:54
44,2mUm5cFEahwt8CtctiwIor,Low Lions,https://open.spotify.com/artist/2mUm5cFEahwt8CtctiwIor,5pOhVfE6GwH6HwnTU8WZTs,Shine Again,2024-02-11,1,https://open.spotify.com/album/5pOhVfE6GwH6HwnTU8WZTs,7kqy1v6tydmrfwrnJLMuaa,Shine Again,146299,2024-07-12T20:47:56.811Z,12/07/2024 21:44:54
45,4BZ2WJhxazwJCRGq3nzczV,ex-pansive,https://open.spotify.com/artist/4BZ2WJhxazwJCRGq3nzczV,5Z5NNGYHiOFFDjEu6AmUcO,signals,2024-01-26,1,https://open.spotify.com/album/5Z5NNGYHiOFFDjEu6AmUcO,3TE7g7pg2i1E5WLhmAVfcF,signals,160874,2024-07-12T20:45:53.605Z,12/07/2024 21:44:54
46,1pX5motd4PjXsK6A7mk3uC,Mist Ant,https://open.spotify.com/artist/1pX5motd4PjXsK6A7mk3uC,5CL1h5mNbbBfZp5lfSk2Iv,perfect enough,2024-06-28,1,https://open.spotify.com/album/5CL1h5mNbbBfZp5lfSk2Iv,2RZ7FOdEaC7iXHh9b6SQtE,perfect enough,106860,2024-07-12T20:43:41.494Z,12/07/2024 21:44:54
47,4qLyv8RotSOSjWze2rJD7O,Breakfast For Brunch,https://open.spotify.com/artist/4qLyv8RotSOSjWze2rJD7O,7L6D24JOqqngMKQvknjWiA,Maca,2023-10-06,1,https://open.spotify.com/album/7L6D24JOqqngMKQvknjWiA,6gdDUUOVAlv1iIywKDRHZE,Maca,145116,2024-07-12T20:42:20.955Z,12/07/2024 21:44:54
48,1eKUGFWkjbCNgqzmEkUpq4,Major 7th,https://open.spotify.com/artist/1eKUGFWkjbCNgqzmEkUpq4,0uDA4G2xvMChwOwyXZb4ey,Falling Leaves,2022-04-01,1,https://open.spotify.com/album/0uDA4G2xvMChwOwyXZb4ey,1LpLdL8nYXqSwaGOcx1CDo,Falling Leaves,150743,2024-07-12T20:40:12.793Z,12/07/2024 21:44:54
49,59fTGxMpUBkID2RojOnA8V,Harry G's Beats,https://open.spotify.com/artist/59fTGxMpUBkID2RojOnA8V,0XAznNmMD2hT3rgM7Tf1y2,early one day,2023-12-17,1,https://open.spotify.com/album/0XAznNmMD2hT3rgM7Tf1y2,7vtAeEq9ICIBVjkFGpXeqN,early one day,126708,2024-07-12T20:38:05.209Z,12/07/2024 21:44:54
